epoch,acc,loss,val_acc,val_loss
0,0.2830357142857143,7.719391637189048,0.3416666666666667,9.12944819132487
1,0.23995535714285715,6.448242844002587,0.25416666666666665,3.675350856781006
2,0.36428571428571427,6.568367597886494,0.42083333333333334,7.472015539805095
3,0.4049107142857143,7.76831705570221,0.44166666666666665,7.730149555206299
4,0.4578125,7.714429794039045,0.49375,7.85770092010498
5,0.46875,7.473832603863308,0.4875,7.103137175242106
6,0.46651785714285715,7.52976816381727,0.4791666666666667,6.890636412302653
7,0.3658482142857143,6.009226558889662,0.39791666666666664,7.2761565208435055
8,0.3575892857142857,6.734537351131439,0.3625,6.588422155380249
9,0.34464285714285714,6.633119247640882,0.3541666666666667,6.3288651466369625
10,0.35379464285714285,6.4238677433558875,0.37916666666666665,5.178088808059693
11,0.3533482142857143,6.017149588039943,0.33541666666666664,5.973384666442871
12,0.3372767857142857,6.167766015870231,0.34791666666666665,5.081843105951945
13,0.2950892857142857,6.502045015777861,0.25625,7.003879419962565
14,0.2421875,6.81212261234011,0.24791666666666667,6.888312085469564
15,0.15513392857142858,5.9409077627318245,0.10833333333333334,6.149600394566854
16,0.06049107142857143,5.5804764526230946,0.025,4.703399991989135
17,0.027232142857142858,5.3653403401374815,0.19166666666666668,7.15240494410197
18,0.0265625,5.718843047959464,0.027083333333333334,4.667531808217366
19,0.02075892857142857,5.180462534087045,0.020833333333333332,5.173511107762654
20,0.019419642857142858,5.891905224323272,0.020833333333333332,5.341410144170125
21,0.0203125,5.7984844871929715,0.025,5.442179377873739
22,0.025669642857142856,5.8464792881693155,0.03125,5.5115939776102705
23,0.027232142857142858,5.78427221093859,0.03333333333333333,5.742348082860311
24,0.02388392857142857,5.8632434725761415,0.029166666666666667,6.245762634277344
25,0.027455357142857142,6.136242416926793,0.035416666666666666,6.380079444249471
26,0.022767857142857142,5.608425942489079,0.016666666666666666,5.8160966237386065
27,0.019866071428571427,5.59984701360975,0.016666666666666666,5.643622144063314
28,0.023214285714285715,5.532273684229169,0.020833333333333332,5.809230295817057
29,0.027232142857142858,5.790521914618356,0.025,6.145023902257283
30,0.030357142857142857,5.867543707575117,0.025,5.909968407948812
31,0.027901785714285716,5.603393336704799,0.025,5.238381052017212
