epoch,cosine_proximity,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,val_cosine_proximity,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error
0,-0.14955465317728117,0.8915772354517867,0.8915772306381099,55318738.71496437,1.2815394557286894,-0.18473218020892912,0.8685663592430853,0.8685663361703196,52698651.161290325,1.2370381835968263
1,-0.18849982128803774,0.8656337180500076,0.8656337064405518,55406686.58432304,1.230856244326204,-0.251175677103381,0.8217055682213076,0.8217055682213076,52081513.548387095,1.1429954690317954
2,-0.22200780962715522,0.8424695124252392,0.8424695001078898,55443298.45130641,1.1845815739552368,-0.15386180411423406,0.8908288401942099,0.8908288305805575,53349296.451612905,1.2815848896580357
3,-0.21294470013267497,0.8488193998144244,0.8488193900454922,55517022.37529691,1.197305051561206,-0.20995011445014708,0.8510407555487848,0.8510407459351325,52226438.96774194,1.201867199713184
4,-0.21373609173821723,0.8484787730026698,0.8484787571458522,55507116.130641334,1.1967316943789321,-0.30773089826107025,0.7819142245477245,0.7819142130113417,52125228.12903226,1.063852160207687
5,-0.2177276286847376,0.845738995386699,0.8457389816535623,55522565.249406174,1.1913611532107102,-0.29311282692417023,0.792473312347166,0.7924733219608184,52414390.0,1.0846652023253902
6,-0.21789712173479328,0.8455327610505166,0.8455327541131589,55480580.83135392,1.191000155909894,-0.2594921862886798,0.8162729778597432,0.816272949018786,52478347.741935484,1.132673773073381
7,-0.23713573516123085,0.8320684377767694,0.832068427583101,55571830.2327791,1.1641016884257844,-0.24253897585215106,0.8283826612657116,0.8283826574202506,52583408.29032258,1.156575418287708
8,-0.23871787972836767,0.8310494897201339,0.8310494793848867,55522289.301662706,1.1620974632736623,-0.2595126268363768,0.8164768045948397,0.8164768045948397,53259593.29032258,1.1329471757335048
9,-0.23536928125486806,0.8333884030226574,0.8333883871658397,55502976.589073636,1.1667291540431297,-0.275403416925861,0.8052466261771417,0.8052466050271065,52587551.09677419,1.110481814030678
10,-0.23479308597876242,0.8338310357510619,0.8338310248494998,55530558.11401425,1.1675680291058048,-0.20778381776425145,0.8529611825942993,0.8529611845170298,53100070.51612903,1.20589493936108
11,-0.23998817919162843,0.8301333728425576,0.8301333617994168,55495092.72684085,1.1602598047879416,-0.2071825883561565,0.8533051071628448,0.8533050898582705,52541713.48387097,1.2065048525410313
12,-0.23896787259418012,0.8308479630182588,0.8308479539572201,55455511.91923991,1.1616595305343138,-0.225822918597729,0.840056723163974,0.840056711627591,53091587.87096774,1.1802112729318681
13,-0.24539397145464414,0.8263643089496042,0.826364303286455,55490852.47980998,1.1526501344388567,-0.25250534545029363,0.8209174198489035,0.8209173986988683,53259527.22580645,1.1419455812823387
14,-0.23660572304118274,0.8323944257727145,0.8323944185521993,55509498.10926366,1.1646484807664594,-0.23619705102136057,0.8328466300041445,0.8328466223132226,52755559.61290322,1.1655748428836945
15,-0.2449387465725319,0.8266425670750633,0.82664255631508,55454638.572446555,1.153184694660531,-0.23459910216831392,0.8339227014972318,0.8339227053426927,52679414.12903226,1.167796705999682
16,-0.24648576254586993,0.8255455496758577,0.8255455387742956,55546390.99049881,1.1510312364673387,-0.2220900462519738,0.8427563598079066,0.8427563463487933,52754061.67741936,1.18537437915802
17,-0.24609330517733183,0.8258046206272696,0.8258046129820182,55502405.6104513,1.1515308966829205,-0.23198776932493334,0.8359755566043239,0.8359755566043239,52587555.29032258,1.1718365896132685
18,-0.24201446134517424,0.8286738191817549,0.8286738108286099,55553375.84085511,1.157257787688611,-0.23991698843817558,0.8301695104568235,0.8301694893067882,52745133.741935484,1.1602495312690735
19,-0.24441272149530555,0.8269887777518773,0.8269887681245237,55571239.80997625,1.1538588479692182,-0.2637758178095664,0.8133442690295558,0.8133442709522862,52419541.35483871,1.1267395884759965
