epoch,cosine_proximity,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,val_cosine_proximity,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error
0,-0.23150898352035293,0.5502435389437188,0.6190990601752546,14892543.885688836,0.5502435389437188,-0.4009517075554017,0.4182527247936495,0.5602551467957035,8444173.677419355,0.4182527247936495
1,-0.3684308398293769,0.4162231460036688,0.5454110363741669,9657453.93824228,0.4162231460036688,-0.42518444022824686,0.39276947513703375,0.5272545074262927,5982890.330645162,0.39276947513703375
2,-0.45266943933296233,0.37214428922626014,0.5021474200019928,10291490.84827791,0.37214428922626014,-0.5135074863510747,0.34175752920489155,0.47497052915634647,8569530.862903226,0.34175752920489155
3,-0.5416404728793192,0.3219649526965307,0.45247924915402066,12326555.65023753,0.3219649526965307,-0.5982754595818058,0.2889118636808088,0.42198053579176625,14146709.774193548,0.2889118636808088
4,-0.6285854056300574,0.2735223265059487,0.4044152415421683,13274068.87351544,0.2735223265059487,-0.7158670098550858,0.22366302051851827,0.3570077255848915,12298105.112903226,0.22366302051851827
5,-0.7160153829994791,0.22022326046384144,0.35164757444569733,14184299.76543943,0.22022326046384144,-0.7476637151933485,0.19819887655396615,0.31985579671398284,13444000.016129032,0.19819887655396615
6,-0.7861318340494061,0.17740131268662682,0.3085885911188896,14396726.001187649,0.17740131268662682,-0.8343476749235584,0.14020284337382163,0.27379372283335657,11337935.39516129,0.14020284337382163
7,-0.8373435711634131,0.1419519798878819,0.27139480224414564,13992548.690617578,0.1419519798878819,-0.9054440836752614,0.08929139435771972,0.21536390819857198,10329645.298387097,0.08929139435771972
8,-0.8702195463724204,0.11701913475282402,0.24328448285399593,13418936.437945368,0.11701913475282402,-0.9370163025394562,0.06405718131892142,0.18339826455039362,10012082.677419355,0.06405718131892142
9,-0.8951217795494333,0.0979850751363325,0.22302804738637105,13372561.516033255,0.0979850751363325,-0.9407004060283783,0.0588684031559575,0.17652183867269947,9083470.120967742,0.0588684031559575
10,-0.9140337961869681,0.08321445063641406,0.20469158834771137,12206491.128859857,0.08321445063641406,-0.9478350204806174,0.05459843599988568,0.16818667515631644,9428318.983870968,0.05459843599988568
11,-0.9266469899096001,0.07288223435115644,0.19170817354087874,12192953.860451307,0.07288223435115644,-0.9560276289140025,0.046927510370169914,0.1555285362466689,10162981.870967742,0.046927510370169914
12,-0.9342333122273805,0.06611983562131675,0.18254931171971092,11670724.97227583,0.06611983562131675,-0.9530763587644023,0.0490071416622208,0.15885910632148867,10233458.427419355,0.0490071416622208
13,-0.9397179369688601,0.06142562150849016,0.17570663004618076,11377058.883610452,0.06142562150849016,-0.9644654297059582,0.03897606010638898,0.14267842952282198,8327899.629032258,0.03897606010638898
14,-0.9458847027493202,0.0556634667367097,0.16723319534168107,10887981.13628266,0.0556634667367097,-0.9722902947856534,0.03089371263500183,0.12944588714068936,8308111.612903226,0.03089371263500183
15,-0.951615523980519,0.05092051425271816,0.16049992156849904,10553903.896971496,0.05092051425271816,-0.9701986062911249,0.03327533170100181,0.13342382446412118,8207572.596774193,0.03327533170100181
16,-0.9516114264089535,0.05045820825297447,0.15879728940631885,10386535.276425177,0.05045820825297447,-0.9681187406662972,0.03510307586721836,0.13622881952793367,8366923.70967742,0.03510307586721836
17,-0.9575792568030097,0.045200368725736746,0.15189020013582677,9974955.24287411,0.045200368725736746,-0.9718056417280628,0.03180306921562841,0.1301073206047858,8666365.133064516,0.03180306921562841
18,-0.9589514082514475,0.04375887420161178,0.14905782029775996,10047239.916270783,0.04375887420161178,-0.9726881942441387,0.030394963679775115,0.12672184359642766,7524212.008064516,0.030394963679775115
19,-0.9620298761653221,0.04084387302593352,0.14461743698904464,9599385.51692399,0.04084387302593352,-0.9814399711547359,0.02202642570820547,0.1102221375030856,6857610.201612903,0.02202642570820547
20,-0.9634778537829528,0.03943203636522531,0.14155390862189676,9306382.205166271,0.03943203636522531,-0.9787044775101447,0.023816906336334445,0.1141683598679881,7124806.70967742,0.023816906336334445
21,-0.9632321969913473,0.03948509482547393,0.14161272936294877,9231408.112826603,0.03948509482547393,-0.9827241782219179,0.020301048163204424,0.10603832982240184,6142917.870967742,0.020301048163204424
22,-0.9652495803289346,0.03768548979965921,0.13808693218259516,8798580.477731591,0.03768548979965921,-0.9736703268943294,0.029280724304337657,0.1245595752712219,7221915.733870967,0.029280724304337657
23,-0.9670890861339071,0.03592559494379014,0.13547681694996327,8922315.075415676,0.03592559494379014,-0.982833743095398,0.020825304751915318,0.10702319515328254,6881958.443548387,0.020825304751915318
24,-0.9659373788539134,0.03683965681939255,0.1363874966026485,8928625.566508314,0.03683965681939255,-0.9763027833354089,0.02681468517309235,0.11957561152596627,7528519.048387097,0.02681468517309235
25,-0.9686457523257602,0.034391893109311115,0.1324140349681757,8340447.956650832,0.034391893109311115,-0.9854012323964026,0.017171343247736653,0.09750956152715991,5698046.181451613,0.017171343247736653
26,-0.9709932951349544,0.0321175889543428,0.12805779288896754,8231142.464073634,0.0321175889543428,-0.9837276570258602,0.01949975206967323,0.10291607293390459,6005009.701612903,0.01949975206967323
27,-0.9704369531674509,0.03259014259944194,0.12884356525689009,8477386.39608076,0.03259014259944194,-0.984262672162825,0.01848694652078613,0.1009441614151001,6698127.645161291,0.01848694652078613
28,-0.9730196606518254,0.03008363963350335,0.1243279465693193,8009623.131235154,0.03008363963350335,-0.9862522752054276,0.016433530607290806,0.09613575329703669,5772563.294354838,0.016433530607290806
29,-0.9719244561682404,0.03088608846475421,0.12506463253016709,8203235.368764846,0.03088608846475421,-0.9829375705411357,0.019863215845919425,0.10322887186081178,6297142.846774193,0.019863215845919425
30,-0.9736530187577364,0.029497302329773857,0.1228217181712035,7868612.515736342,0.029497302329773857,-0.9808439939252792,0.022480733632560698,0.10982792944677415,6286230.951612903,0.022480733632560698
31,-0.9734029921386701,0.029670769406256937,0.1226782958220133,7846647.853028503,0.029670769406256937,-0.987303953016958,0.015021457667312315,0.09063031091805428,5505033.979838709,0.015021457667312315
32,-0.9757786873117479,0.02727953490586575,0.11851342629437775,7693758.429038005,0.02727953490586575,-0.9866799019998119,0.016327897777720805,0.0955992317007434,6047217.862903226,0.016327897777720805
33,-0.9758771245949626,0.02720422679093841,0.11796118549100011,7610847.029988123,0.02720422679093841,-0.9855019565551512,0.017196761354083014,0.09672526630663103,6280788.3427419355,0.017196761354083014
34,-0.9771974677144774,0.025857230024567125,0.1155303805854145,7497492.353028503,0.025857230024567125,-0.9854076658525774,0.0169370868693917,0.0975413687767521,5818864.41532258,0.0169370868693917
35,-0.9745897837602611,0.02814696885362232,0.11879022338044898,7525120.701900237,0.02814696885362232,-0.9861693055399002,0.0162957503250049,0.09482101663466423,6526238.588709678,0.0162957503250049
36,-0.9777415527867025,0.02532903088429266,0.11416961555313894,7489710.183491686,0.02532903088429266,-0.9885732973775556,0.013320850538870981,0.08576004159065985,5022437.120967742,0.013320850538870981
37,-0.9789814895235728,0.02407744999382105,0.1115663615619485,7185265.345383016,0.02407744999382105,-0.9903332648738739,0.012183702701041776,0.08256412778169878,4637765.883064516,0.012183702701041776
38,-0.9794370032262916,0.023613111666821812,0.11066278011810185,7013782.055225654,0.023613111666821812,-0.9902080720470797,0.012154116175107418,0.08208706229925156,4592424.0,0.012154116175107418
39,-0.9791233164397668,0.02395456928467807,0.11090351064244812,7163519.1315320665,0.02395456928467807,-0.9886673958070816,0.014200604250354151,0.0883828432809922,5181745.879032258,0.014200604250354151
40,-0.978444005276415,0.02454373961195102,0.11167878625724208,7198068.3889548695,0.02454373961195102,-0.9893727898597717,0.012911471448117686,0.08492994404608203,5301386.258064516,0.012911471448117686
41,-0.9796109159881882,0.023219837676601,0.10898612913921157,7059283.484857482,0.023219837676601,-0.9761530833859597,0.026221996714030544,0.11620303147262143,7099987.705645162,0.026221996714030544
42,-0.9791833711633207,0.023579918918799334,0.10953817139611957,6958986.795130641,0.023579918918799334,-0.9904696056919713,0.01186824154349104,0.08171735343433195,5091901.612903226,0.01186824154349104
43,-0.9804616778593448,0.02231720219545438,0.10684988766271541,6750326.351247031,0.02231720219545438,-0.9900861267120608,0.012592634606745935,0.08301627924365382,5075489.620967742,0.012592634606745935
44,-0.9808135760368474,0.022196124270204412,0.1070146673401008,6672108.071481591,0.022196124270204412,-0.9901728264747127,0.012323627458705057,0.0824272784013902,5088388.568548387,0.012323627458705057
45,-0.9818553420540272,0.020943860162819367,0.10414676210730206,6746317.254667087,0.020943860162819367,-0.9908449534446963,0.011031616328945082,0.07830773245903754,4805817.463709678,0.011031616328945082
46,-0.9822073897386673,0.02069523973244457,0.10357237718733926,6540996.355997625,0.02069523973244457,-0.9909914616615542,0.010961034124897372,0.07818513339565646,4273543.6572580645,0.010961034124897372
47,-0.982257561275908,0.0206088589132717,0.10367213945278363,6721497.5457244655,0.0206088589132717,-0.9910663712409234,0.011448730414192523,0.07945850876069838,5213863.862903226,0.011448730414192523
48,-0.9820232612220239,0.0207809816200879,0.10349532080517812,6526693.429631829,0.0207809816200879,-0.9920584444076784,0.010515837569630915,0.07732500832888388,4459041.612903226,0.010515837569630915
49,-0.9829751309759543,0.019877209193172762,0.10130925524333877,6423358.69239905,0.019877209193172762,-0.9881024725975529,0.014273472400682588,0.08915608784844799,4973698.6572580645,0.014273472400682588
50,-0.9823702854102128,0.020407296197307506,0.1027943871897643,6608917.203087886,0.020407296197307506,-0.9869920092244302,0.015421175307804538,0.09083405641778823,5468440.879032258,0.015421175307804538
51,-0.9827474280660906,0.020039657212687644,0.10159507445159265,6479315.051365796,0.020039657212687644,-0.9905095484948927,0.011648525303650287,0.08155630144380754,4805310.693548387,0.011648525303650287
52,-0.9834866294385135,0.019224064468877332,0.09983715259264314,6327803.433194774,0.019224064468877332,-0.991195599878988,0.011490326975622484,0.0788404444052327,4414295.862903226,0.011490326975622484
53,-0.983279168322647,0.019561082553870603,0.10040743675551901,6418445.128859857,0.019561082553870603,-0.986413215437243,0.015810818171068546,0.0927016525979965,5991418.322580645,0.015810818171068546
54,-0.9836103318705978,0.019224505119397352,0.09981850771821876,6244702.177850356,0.019224505119397352,-0.9918620201849169,0.009770432186703528,0.07427908816645222,4277487.677419355,0.009770432186703528
55,-0.9839703320324279,0.018718133614157414,0.09861247653845087,6181187.942547506,0.018718133614157414,-0.9920915692083297,0.009868380343241076,0.07401699020016578,4248303.689516129,0.009868380343241076
56,-0.9841547561654569,0.01857197675146074,0.09810047980725341,6128226.278503563,0.01857197675146074,-0.9878652422658859,0.014375041719646223,0.08919016416034391,4855855.58467742,0.014375041719646223
57,-0.9839491630393365,0.018621487135948026,0.09767069175591661,6031848.879156769,0.018621487135948026,-0.9904468732495462,0.01128489638288175,0.07959770627560155,4774584.403225807,0.01128489638288175
58,-0.9848871825709762,0.017747937641913986,0.0960980599785927,6092579.02523753,0.017747937641913986,-0.9873362721935395,0.014722186831697341,0.0895830784593859,5225531.411290322,0.014722186831697341
