epoch,cosine_proximity,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,val_cosine_proximity,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error
0,-0.9897460337206191,0.012325623104760241,0.08033793729303002,4843413.956799287,0.012325623104760241,-0.9956658944006889,0.005950296958608012,0.05796543917348308,2995830.0302419355,0.005950296958608012
1,-0.9897708289696882,0.0122221977297314,0.07990895689524834,4907390.768408551,0.0122221977297314,-0.995295315019546,0.006255035709229207,0.05882009046693002,3071999.2157258065,0.006255035709229207
2,-0.9899696232020997,0.012113788780134676,0.07960013363890864,4809978.092933492,0.012113788780134676,-0.9948475187824618,0.006245369091629982,0.05964327158947145,3163846.8911290322,0.006245369091629982
3,-0.9900720350249647,0.011950633569339604,0.07921453492800017,4732795.164637767,0.011950633569339604,-0.9949503117992032,0.007022060574062409,0.06265054979631977,3325261.3266129033,0.007022060574062409
4,-0.9901876853084338,0.011812056849473942,0.07864075971683245,4701547.6292309975,0.011812056849473942,-0.9955982700470956,0.005792113111144112,0.0577112645391495,3092026.7419354836,0.005792113111144112
5,-0.9901812894893656,0.011894072269945629,0.07898519462474451,4857418.235451306,0.011894072269945629,-0.9935224171607725,0.007859228644520044,0.06600854954411907,3405724.5322580645,0.007859228644520044
6,-0.9898336787405037,0.012254715482361456,0.0797100773616528,4824019.67621734,0.012254715482361456,-0.9943301389294286,0.0073937592397053395,0.06390973180532455,3561371.754032258,0.0073937592397053395
7,-0.9903539924610256,0.011650068710852335,0.07835511335850895,4753260.021971497,0.011650068710852335,-0.9954685626491424,0.005959128885860404,0.05800978611073186,2976686.7137096776,0.005959128885860404
8,-0.990307880552251,0.011708131660607747,0.07830389436874141,4686567.090706651,0.011708131660607747,-0.9958735819785826,0.005411634176609016,0.05607507197606948,3040176.1411290322,0.005411634176609016
9,-0.9901944495153541,0.011852487347657282,0.07894103780318043,4650020.148827197,0.011852487347657282,-0.992577854664095,0.008782395056539005,0.07016499100192901,4062950.256048387,0.008782395056539005
10,-0.9903870080542394,0.011602280834012813,0.07801155937114408,4642364.849317102,0.011602280834012813,-0.9959940641157089,0.0054020455347434165,0.0554635766292772,2844603.7580645164,0.0054020455347434165
11,-0.9901982070148133,0.01180558241771052,0.07851216494329186,4597033.943067102,0.01180558241771052,-0.9959128845122552,0.005553904124685834,0.05608063707909276,3028986.314516129,0.005553904124685834
12,-0.9904527171490595,0.011496036249321316,0.07758953850583622,4677991.578384798,0.011496036249321316,-0.9952408709833699,0.006094345387311712,0.05826349652582599,3179008.4032258065,0.006094345387311712
13,-0.9904584304170767,0.011539218654179163,0.07798915536025641,4652809.604809976,0.011539218654179163,-0.9957570433616638,0.005484119230400651,0.056301154797115636,2862317.5524193547,0.005484119230400651
14,-0.9905804177644417,0.011440511890233554,0.07732869882906418,4603061.963087784,0.011440511890233554,-0.9960114994356709,0.00558579669544293,0.05608916763336428,2897865.685483871,0.00558579669544293
15,-0.990702336587702,0.011278175026611945,0.07718831431695798,4577762.633016627,0.011278175026611945,-0.9951383279215905,0.006309014865227284,0.05961283464585581,2960974.497983871,0.006309014865227284
16,-0.9907785174116103,0.01111383664127519,0.07638006458266897,4509519.720011877,0.01111383664127519,-0.9946277641480968,0.006504716787246927,0.05964481830596924,3258521.566532258,0.006504716787246927
17,-0.9904817400805458,0.011436843809908401,0.07729137225204862,4547385.972164489,0.011436843809908401,-0.9945757600568956,0.006950290392964117,0.06243581937686089,3505146.7116935486,0.006950290392964117
18,-0.9902605647995466,0.011715979247869407,0.07821941979211752,4806910.660926366,0.011715979247869407,-0.9958645912908739,0.005526575620376294,0.05604653709357785,2790259.1350806453,0.005526575620376294
19,-0.9909746901722816,0.010948039112378115,0.0759037534779296,4598266.995026723,0.010948039112378115,-0.9953000776229366,0.005818019936522169,0.05675713874159321,3250506.2197580645,0.005818019936522169
20,-0.9905604012222018,0.011394708147471563,0.07713883162217298,4663106.698337292,0.011394708147471563,-0.9955926749014086,0.006022604497810525,0.0583104724364896,2860089.6169354836,0.006022604497810525
21,-0.9907342461678874,0.011147236100878045,0.07631872006804813,4572389.647565321,0.011147236100878045,-0.9961940973035751,0.005240726735322706,0.05481083282539921,2625387.931451613,0.005240726735322706
22,-0.9909750479417289,0.01095729359843704,0.07605413543923167,4491906.289192399,0.01095729359843704,-0.9956823952736393,0.005535200628782472,0.056028480491330544,2846444.3830645164,0.005535200628782472
23,-0.9909500948323773,0.01091956557383022,0.07577314578226796,4488060.700267221,0.01091956557383022,-0.9961822609747609,0.005233450251961908,0.054452662626581806,2711678.152217742,0.005233450251961908
24,-0.9909062672963901,0.010983879034210555,0.07558742211578577,4490318.777427256,0.010983879034210555,-0.9960611827911869,0.005134344694294756,0.05433789196033632,2792458.2842741935,0.005134344694294756
25,-0.9910951556898919,0.010785315572914629,0.07540660152419729,4448336.127672209,0.010785315572914629,-0.9951441884040833,0.006095354790769277,0.05873215198516846,2782163.5161290322,0.006095354790769277
26,-0.9907225657811923,0.011245051402191581,0.07658353342614944,4497225.441062945,0.011245051402191581,-0.9959816798087089,0.005296102409521418,0.05498292213005404,2752715.810483871,0.005296102409521418
27,-0.9908910055341743,0.010928484843490809,0.07568163480476925,4451028.378859857,0.010928484843490809,-0.9953180705347369,0.005938142447942688,0.057936941664065086,2965393.068548387,0.005938142447942688
28,-0.9910891940927845,0.010816142638822279,0.07524289349160398,4476609.170872922,0.010816142638822279,-0.995990643578191,0.005054824655094455,0.05391497825903277,2818033.189516129,0.005054824655094455
